,0,1
109,FISV,3804.382608371043
110,FLIR,1141.0573195777827
111,FLS,383.15052260803293
112,FMC,1585.8608716889828
113,FL,1714.5145424363486
114,F,3.5311592770537374
115,BEN,85.66312638730436
116,GPS,23.60015675618399
117,IT,11037.534439630264
118,GD,16031.066853759901
119,GE,84.07878333091338
120,GIS,425.19804326234777
121,GPC,2472.5513599569585
122,GILD,3892.0138101640255
123,GT,77.22699854735282
124,GWW,31732.33988910115
125,HAL,557.888627436901
126,HOG,970.168417011909
127,HAS,4910.821386802208
128,HP,912.9766719190891
129,HSY,4913.307856966288
130,HES,364.82701353665215
131,HOLX,820.0129561847726
132,HD,19252.171431891282
133,HON,8800.991661719925
134,HRL,746.3857508678835
135,HST,73.25567478521437
136,HPQ,99.08127902650524
137,HUM,44174.43139812067
138,HBAN,30.340685000319112
139,IDXX,29342.913840664474
140,ITW,9113.798304819355
141,INTC,746.9418870518867
142,IBM,3565.3863766986124
143,INCY,5972.4751577150555
144,IP,135.04317883977572
145,IPG,60.961290039103815
146,IFF,7419.3848800106
147,INTU,23941.614105448414
148,JBHT,6382.821911952484
149,JNJ,6770.456863834447
150,JCI,21.496014928599628
151,JPM,4376.3938684024815
152,KSU,3137.8087902856532
153,K,1379.9463475055659
154,KEY,67.5227123986288
155,KMB,3610.61178686638
156,KIM,37.83500884635356
157,KLAC,4617.367256249949
158,KSS,142.41611576493202
159,KR,277.1633488066309
160,LB,744.2254360980361
161,LH,8652.306998715294
162,LRCX,19216.848268632017
163,LEG,857.7780769602671
164,LEN,641.3552777326585
165,LLY,2576.723563035767
166,LNC,916.5697457190441
167,LMT,51061.8987034355
168,L,597.8262177234386
169,LOW,4701.417007768523
170,MTB,5080.872754493498
171,M,104.51580570357703
172,MRO,48.51435460878015
173,MAR,7754.103691125042
174,MMC,2440.8690734586744
175,MAS,206.55105903803874
176,MAT,174.839991312826
177,MKC,7645.461903673441
178,MCD,13179.818814950879
179,MDT,3008.482448331762
180,MRK,1266.78204196394
181,MGM,36.29431343793673
182,MCHP,3573.2631231841283
183,MU,540.7091470041956
184,MSFT,4992.622205238442
185,MAA,3913.2902330746915
186,MHK,15407.602385269991
187,TAP,2189.6580649167577
188,MNST,2455.1138471990407
189,MS,487.6650711266674
190,MOS,146.86927382856626
191,MSI,2876.758068728966
192,MYL,475.2793183334404
193,NWL,256.25208818461334
194,NEM,35.100835427592095
195,NEE,13555.41987281752
196,NKE,4019.0622725500302
197,NI,359.3942658916879
198,NBL,108.86066961048623
199,JWN,324.2370937022203
200,NSC,8952.60791441388
201,NTRS,2603.8910436072724
202,NOC,55498.836349580786
203,NUE,911.9201284744196
204,ORLY,50136.25987512239
205,OXY,949.9651495473375
206,OMC,2584.175533633629
207,OKE,1590.9692057286704
208,ORCL,623.8733366262242
209,PCAR,1565.2241782657745
210,PH,14018.428986166087
211,PDCO,201.3209744810808
212,PAYX,2757.0075241926834
213,PNR,413.9263608204667
214,PBCT,91.31198890167866
215,PEP,3590.9758070517914
216,PKI,2264.9813552715764
217,PRGO,1280.459391765551
218,PFE,416.85096072157364
219,PCG,478.8576872703464
220,PNW,2990.172266216438
221,PNC,6610.313515247711
222,PPG,5049.8491879688945
223,PPL,78.18291094529258
224,PG,1822.669525162998
225,PGR,1781.044174058861
226,PEG,651.183350859488
227,PSA,19016.86578400539
228,PHM,326.64914215115186
229,PVH,6043.471251943944
230,QCOM,761.5197819943825
231,RRC,178.63714966612002
232,RJF,3582.416448195581
233,RTN,17488.87474944741
234,REG,719.138991702762
235,REGN,96017.96165135324
236,RF,10.367239366336833
237,RHI,1042.4766526647488
238,ROK,13892.647038962537
239,ROP,51866.144594745165
240,ROST,3292.2645724032004
241,RCL,7407.42888399108
242,SLB,542.7892634532944
243,SEE,421.75800227580777
244,SHW,109201.6527533154
245,SIG,1021.979213510851
246,SPG,14534.256654609522
247,SWKS,5340.313850619428
248,SNA,15219.987885354663
249,SO,487.8665653191929
250,LUV,1511.000204630152
251,SPGI,23174.451425687213
252,SWK,6877.674976523377
253,SBUX,2593.263078508857
254,STT,2335.5059825054373
255,SYK,11779.75416308667
256,SNPS,5534.346787340179
257,SYY,1756.1514950802625
258,TROW,3634.8543067889022
259,TGT,1425.3598505046964
260,TXN,5039.915731730319
261,TXT,750.3944841806893
262,TMO,30763.15042263038
263,TIF,3887.9862200906714
264,TJX,1306.1744450056378
265,TRV,8343.25620841874
266,TSN,2867.34150645123
267,UDR,224.00538064480432
268,USB,905.9295221585581
269,UNP,8443.280303489113
270,UNH,32558.032181742357
271,UTX,5018.10858048678
272,UHS,9903.751743498276
273,UNM,537.2110647569575
274,VFC,2723.4008266250444
275,VLO,2713.5577739863224
276,VAR,5597.6435640065965
277,VZ,175.78117703457985
278,VRTX,14455.41904053156
279,VNO,1205.9839254696594
280,VMC,6582.2155786257135
281,WMT,2135.205962945913
282,WBA,1446.3940687721456
283,DIS,9543.664097239898
284,WM,3197.142173284766
285,WEC,2681.479650875649
286,WFC,809.0641198784072
287,WDC,2269.1878211832864
288,WY,54.07105153505939
289,WHR,5223.983893854534
290,WMB,26.32025416436279
291,XEL,1015.9705284878786
292,XRX,58.45448146646494
293,XLNX,1768.6173432911519
294,ZION,95.4144762217986
